plaatsnaam,provincie
s Gravenmoer,Noord-Brabant
Aadorp,Overijssel
Aagtekerke,Zeeland
Aalbeek,Limburg
Aalden,Drenthe
Aaldonk,Limburg
Aalsmeer,Noord-Holland
Aalsmeerderbrug,Noord-Holland
Aalst,Gelderland
Aalst,Noord-Brabant
Aalsum,Groningen
Aalsum / Ealsum,Fryslân
Aalten,Gelderland
Aam,Gelderland
Ter Aar,Zuid-Holland
Ter Aard,Drenthe
Aardenburg,Zeeland
Aarlanderveen,Zuid-Holland
Aarle-Rixtel,Noord-Brabant
Aartswoud,Noord-Holland
Abbega / Abbegea,Fryslân
Abbekinderen,Zeeland
Abbenbroek,Zuid-Holland
Abbenes,Noord-Holland
Abcoude,Utrecht
Absdale,Zeeland
Abshoven,Limburg
Achlum,Fryslân
Achterberg,Utrecht
Achterbosch,Noord-Brabant
Achterbroek,Zuid-Holland
Achterbroek,Noord-Brabant
Achterdijk,Noord-Brabant
Achterdijk,Utrecht
Achterdrempt,Gelderland
Achterhoek,Overijssel
Achterhoek,Gelderland
Achterveld,Gelderland
Achterveld,Utrecht
Achthuizen,Zuid-Holland
Achtmaal,Noord-Brabant
Acquoy,Gelderland
Adorp,Groningen
Aduard,Groningen
Aegum / Eagum,Fryslân
Aekinga,Fryslân
Aerdt,Gelderland
Aerdenhout,Noord-Holland
Afferden,Limburg
Afferden,Gelderland
Agelo,Overijssel
Aijen,Limburg
Akersloot,Noord-Holland
Akkrum,Fryslân
Akmarijp / Eagmaryp,Fryslân
Albergen,Overijssel
Alblasserdam,Zuid-Holland
Aldeboarn,Fryslân
Aldtsjerk / Oudkerk,Fryslân
Alem,Gelderland
Alkmaar,Noord-Holland
Almelo,Overijssel
Almen,Gelderland
Almere,Flevoland
Almkerk,Noord-Brabant
Alphen,Noord-Brabant
Alphen,Gelderland
Alphen aan den Rijn,Zuid-Holland
Alteveer,Drenthe
Alteveer,Drenthe
Alteveer,Groningen
Alteveer,Groningen
Altforst,Gelderland
Alverna,Gelderland
Ambt delden,Overijssel
Ameide,Utrecht
Amen,Drenthe
America,Limburg
Amerongen,Utrecht
Amersfoort,Utrecht
Ammerstol,Zuid-Holland
Ammerzoden,Gelderland
Amstelhoek,Utrecht
Amstelveen,Noord-Holland
Amstenrade,Limburg
Amsterdam,Noord-Holland
Andel,Noord-Brabant
Andelst,Gelderland
Anderen,Drenthe
Andijk,Noord-Holland
Angeren,Gelderland
Angerlo,Gelderland
Anjum / Eanjum,Fryslân
Ankeveen,Noord-Holland
Anloo,Drenthe
Annen,Drenthe
Annerveenschekanaal,Drenthe
Ansen,Drenthe
Ter Apel,Groningen
Apeldoorn,Gelderland
Ter Apelkanaal,Groningen
Appelscha / Appelskea,Fryslân
Appeltern,Gelderland
Appingedam,Groningen
Arcen,Limburg
Arkel,Zuid-Holland
Arnhem,Gelderland
Arriën,Overijssel
Arum,Fryslân
Asch,Gelderland
Asperen,Gelderland
Assen,Drenthe
Assendelft,Noord-Holland
Asten,Noord-Brabant
Augsbuurt,Fryslân
Augustinusga / Stynsgea,Fryslân
Austerlitz,Utrecht
Avenhorn,Noord-Holland
Axel,Zeeland
Azewijn,Gelderland
Baak,Gelderland
Baambrugge,Utrecht
Baard / Baerd,Fryslân
Baarland,Zeeland
Baarle-Nassau,Noord-Brabant
Baarlo,Limburg
Baarlo,Overijssel
Baarn,Utrecht
Baars,Overijssel
Babberich,Gelderland
Babyloniënbroek,Noord-Brabant
Bad Nieuweschans,Groningen
Badhoevedorp,Noord-Holland
Baexem,Limburg
Baflo,Groningen
Bakel,Noord-Brabant
Bakhuizen / Bakhúzen,Fryslân
Bakkeveen / Bakkefean,Fryslân
Balgoij,Gelderland
Balinge,Drenthe
Balk,Fryslân
Balkbrug,Overijssel
Balloo,Drenthe
Ballum,Fryslân
Baneheide,Limburg
Banholt,Limburg
Bant,Flevoland
Bantega / Bantegea,Fryslân
Barchem,Gelderland
Barendrecht,Zuid-Holland
Barger-Compascuum,Drenthe
Barneveld,Gelderland
Basse,Overijssel
Batenburg,Gelderland
Bath,Zeeland
Bathmen,Overijssel
Bavel,Noord-Brabant
Bedum,Groningen
Beegden,Limburg
Beek,Limburg
Beek,Gelderland
Beek,Gelderland
Beek en Donk,Noord-Brabant
Beekbergen,Gelderland
Beemte Broekland,Gelderland
Beers,Noord-Brabant
Beerta,Groningen
Beerze,Overijssel
Beerzerveld,Overijssel
Beesd,Gelderland
Beesel,Limburg
Beets,Noord-Holland
Beetsterzwaag / Beetstersweach,Fryslân
Beilen,Drenthe
Beinsdorp,Noord-Holland
Belfeld,Limburg
Bellingwolde,Groningen
Belt-Schutsloot,Overijssel
Beltrum,Gelderland
Bemelen,Limburg
Bemmel,Gelderland
Beneden-Leeuwen,Gelderland
Bennebroek,Noord-Holland
Bennekom,Gelderland
Benneveld,Drenthe
Benningbroek,Noord-Holland
Benschop,Utrecht
Bentelo,Overijssel
Benthuizen,Zuid-Holland
Bentveld,Noord-Holland
Berg en Dal,Gelderland
Berg en Terblijt,Limburg
Bergambacht,Zuid-Holland
Bergeijk,Noord-Brabant
Bergen,Noord-Holland
Bergen,Limburg
Bergen aan Zee,Noord-Holland
Bergen op Zoom,Noord-Brabant
Bergentheim,Overijssel
Bergharen,Gelderland
Berghem,Noord-Brabant
Bergschenhoek,Zuid-Holland
Beringe,Limburg
Berkel en Rodenrijs,Zuid-Holland
Berkel-Enschot,Noord-Brabant
Berkenwoude,Zuid-Holland
Berkhout,Noord-Holland
Berlicum,Noord-Brabant
Berltsum / Berlikum,Fryslân
Best,Noord-Brabant
Beuningen,Gelderland
Beuningen,Overijssel
Beusichem,Gelderland
Beutenaken,Limburg
Beverwijk,Noord-Holland
Biddinghuizen,Flevoland
Bierum,Groningen
Biervliet,Zeeland
Biest-Houthakker,Noord-Brabant
Biezelinge,Zeeland
Biggekerke,Zeeland
Bingelrade,Limburg
Bitgum / Beetgum,Fryslân
Bitgummole / Beetgumermolen,Fryslân
Bladel,Noord-Brabant
Blankenham,Overijssel
Blaricum,Noord-Holland
Blauwe Sluis,Noord-Brabant
Blauwhuis / Blauhûs,Fryslân
Blauwestad,Groningen
Bleiswijk,Zuid-Holland
Bleskensgraaf,Zuid-Holland
De Blesse,Fryslân
Blessum,Fryslân
Blije / Blija,Fryslân
Blijham,Groningen
Blitterswijck,Limburg
Bloemendaal,Noord-Holland
Blokker,Noord-Holland
Blokzijl,Overijssel
Boazum / Bozum,Fryslân
Bocholtz,Limburg
Bodegraven,Zuid-Holland
Boekel,Noord-Brabant
Boelenslaan / Boelensloane,Fryslân
Boer,Fryslân
Ten Boer,Groningen
Boerakker,Groningen
Boerdonk,Noord-Brabant
Boijl / Boyl,Fryslân
Boksum,Fryslân
Bolsward / Boalsert,Fryslân
Den Bommel,Zuid-Holland
Bontebok,Fryslân
Boornbergum / Boarnburgum,Fryslân
Boornzwaag / Boarnsweach,Fryslân
Borculo,Gelderland
Borger,Drenthe
Borgercompagnie,Groningen
Borgsweer,Groningen
Born,Limburg
Borne,Overijssel
Bornerbroek,Overijssel
Bornwird / Boarnwert,Fryslân
Borssele,Zeeland
Bosch en Duin,Utrecht
Boschoord,Drenthe
Boskoop,Zuid-Holland
Bosschenhoofd,Noord-Brabant
Bourtange,Groningen
Boven-Leeuwen,Gelderland
Bovenkarspel,Noord-Holland
Bovensmilde,Drenthe
Boxmeer,Noord-Brabant
Boxtel,Noord-Brabant
Braamt,Gelderland
Brakel,Gelderland
Brand,Noord-Brabant
Brandwijk,Zuid-Holland
Brantgum,Fryslân
Breda,Noord-Brabant
Bredevoort,Gelderland
Breedenbroek,Gelderland
Breezand,Noord-Holland
Breezanddijk,Fryslân
Breskens,Zeeland
Breukelen,Utrecht
Brielle,Zuid-Holland
Britsum,Fryslân
Britswert / Britswerd,Fryslân
Broek in Waterland,Noord-Holland
Broek op Langedijk,Noord-Holland
Broekhuizen,Limburg
Broekhuizen,Drenthe
Broekhuizenvorst,Limburg
Broekland,Overijssel
Broeksterwâld / Broeksterwoude,Fryslân
Bronkhorst,Gelderland
Bronneger,Drenthe
Bronnegerveen,Drenthe
Brouwershaven,Zeeland
Bruchem,Gelderland
Brucht,Overijssel
Bruchterveld,Overijssel
Bruinehaar,Overijssel
Bruinisse,Zeeland
Brummen,Gelderland
Brunssum,Limburg
Bruntinge,Drenthe
Buchten,Limburg
Budel,Noord-Brabant
Budel-Dorplein,Noord-Brabant
Budel-Schoot,Noord-Brabant
Buggenum,Limburg
Buinen,Drenthe
Buinerveen,Drenthe
Buitenpost / Bûtenpost,Fryslân
Bunne,Drenthe
Bunnik,Utrecht
Bunschoten-Spakenburg,Utrecht
Burdaard / Birdaard,Fryslân
Buren,Gelderland
Buren / Bueren,Fryslân
Den Burg,Noord-Holland
Burgerbrug,Noord-Holland
Burgum / Bergum,Fryslân
Burgwerd / Burchwert,Fryslân
Burum,Fryslân
Bussum,Noord-Holland
Buurmalsen,Gelderland
Cadier en Keer,Limburg
Cadzand,Zeeland
Callantsoog,Noord-Holland
Capelle aan den IJssel,Zuid-Holland
Castelre,Noord-Brabant
Castenray,Limburg
Casteren,Noord-Brabant
Castricum,Noord-Holland
Chaam,Noord-Brabant
Clinge,Zeeland
De Cocksdorp,Noord-Holland
Coevorden,Drenthe
Colijnsplaat,Zeeland
Collendoorn,Overijssel
Cornwerd / Koarnwert,Fryslân
Cothen,Utrecht
Creil,Flevoland
Cromvoirt,Noord-Brabant
Cruquius,Noord-Holland
Cuijk,Noord-Brabant
Culemborg,Gelderland
Daarlerveen,Overijssel
Dalen,Drenthe
Dalerpeel,Drenthe
Dalerveen,Drenthe
Dalfsen,Overijssel
Dalmsholte,Overijssel
Damwâld / Damwoude,Fryslân
Darp,Drenthe
Dearsum,Fryslân
Dedemsvaart,Overijssel
Dedgum / Dedzjum,Fryslân
Deelen,Gelderland
Deest,Gelderland
Deil,Gelderland
Deinum,Fryslân
Delfgauw,Zuid-Holland
Delfstrahuizen,Fryslân
Delft,Zuid-Holland
Delfzijl,Groningen
Delwijnen,Gelderland
Demen,Noord-Brabant
Denekamp,Overijssel
Deurne,Noord-Brabant
Deurningen,Overijssel
Deurze,Drenthe
Deventer,Overijssel
Didam,Gelderland
Dieden,Noord-Brabant
Diemen,Noord-Holland
Diepenheim,Overijssel
Diepenveen,Overijssel
Dieren,Gelderland
Diessen,Noord-Brabant
Dieteren,Limburg
Diever,Drenthe
Dieverbrug,Drenthe
Diffelen,Overijssel
Dijken / Diken,Fryslân
Dinteloord,Noord-Brabant
Dinxperlo,Gelderland
Diphoorn,Drenthe
Dirkshorn,Noord-Holland
Dirksland,Zuid-Holland
Dodewaard,Gelderland
Doenrade,Limburg
Doesburg,Gelderland
Doetinchem,Gelderland
Doeveren,Noord-Brabant
Doezum,Groningen
Dokkum,Fryslân
Den Dolder,Utrecht
Doldersum,Drenthe
Domburg,Zeeland
Donderen,Drenthe
Dongen,Noord-Brabant
Dongjum / Doanjum,Fryslân
Donkerbroek,Fryslân
Doorn,Utrecht
Doornenburg,Gelderland
Doornspijk,Gelderland
Doorwerth,Gelderland
Dordrecht,Zuid-Holland
Dorst,Noord-Brabant
Drachten,Fryslân
Dreischor,Zeeland
Drempt,Gelderland
Dreumel,Gelderland
Driebergen-Rijsenburg,Utrecht
Drieborg,Groningen
Driebruggen,Zuid-Holland
Driel,Gelderland
Driezum / Driesum,Fryslân
Drijber,Drenthe
Drimmelen,Noord-Brabant
Drogeham / Droegeham,Fryslân
Drongelen,Noord-Brabant
Dronryp / Dronrijp,Fryslân
Dronten,Flevoland
Drouwen,Drenthe
Drouwenermond,Drenthe
Drouwenerveen,Drenthe
Drunen,Noord-Brabant
Druten,Gelderland
Duiven,Gelderland
Duivendrecht,Noord-Holland
Duizel,Noord-Brabant
Dussen,Noord-Brabant
Dwingeloo,Drenthe
Earnewâld / Eernewoude,Fryslân
Easterein / Oosterend,Fryslân
Easterlittens / Oosterlittens,Fryslân
Eastermar / Oostermeer,Fryslân
Easterwierrum / Oosterwierum,Fryslân
Echt,Limburg
Echteld,Gelderland
Echten,Drenthe
Echten / Ychten,Fryslân
Echtenerbrug / Ychtenbrêge,Fryslân
Eck en Wiel,Gelderland
Eckelrade,Limburg
Edam,Noord-Holland
Ede,Gelderland
Ederveen,Gelderland
Ee / Ie,Fryslân
Eede,Zeeland
Eefde,Gelderland
Eelde,Drenthe
Eelderwolde,Drenthe
Eemnes,Utrecht
Eemshaven,Groningen
Een,Drenthe
Eenrum,Groningen
Eenum,Groningen
Eerbeek,Gelderland
Eersel,Noord-Brabant
Ees,Drenthe
Eeserveen,Drenthe
Eesveen,Overijssel
Eethen,Noord-Brabant
Eext,Drenthe
Eexterveen,Drenthe
Eexterveenschekanaal,Drenthe
Eexterzandvoort,Drenthe
Egchel,Limburg
Egmond aan den Hoef,Noord-Holland
Egmond aan Zee,Noord-Holland
Egmond-Binnen,Noord-Holland
Eibergen,Gelderland
Eijsden,Limburg
Elburg,Gelderland
Elim,Drenthe
Elkenrade,Limburg
Elkerzee,Zeeland
Ell,Limburg
Ellecom,Gelderland
Ellemeet,Zeeland
Ellertshaar,Drenthe
Ellewoutsdijk,Zeeland
Elp,Drenthe
Elshout,Noord-Brabant
Elsloo,Limburg
Elsloo / Elslo,Fryslân
Elspeet,Gelderland
Elst,Gelderland
Emmeloord,Flevoland
Emmen,Drenthe
Emmer-Compascuum,Drenthe
Empe,Gelderland
Emst,Gelderland
Enkhuizen,Noord-Holland
Ens,Flevoland
Enschede,Overijssel
Enspijk,Gelderland
Enter,Overijssel
Enumatil,Groningen
Epe,Gelderland
Epen,Limburg
Eppenhuizen,Groningen
Epse,Gelderland
Erica,Drenthe
Erichem,Gelderland
Erlecom,Gelderland
Erm,Drenthe
Ermelo,Gelderland
Erp,Noord-Brabant
Esbeek,Noord-Brabant
Esch,Noord-Brabant
Escharen,Noord-Brabant
Espel,Flevoland
Est,Gelderland
Etten-Leur,Noord-Brabant
Evertsoord,Limburg
Ewijk,Gelderland
Exloo,Drenthe
Exloërveen,Drenthe
Exmorra / Eksmoarre,Fryslân
Eygelshoven,Limburg
Eys,Limburg
Ezinge,Groningen
Farmsum,Groningen
Feanwâlden / Veenwouden,Fryslân
Feerwerd,Groningen
Feinsum / Finkum,Fryslân
Ferwert / Ferwerd,Fryslân
Ferwoude / Ferwâlde,Fryslân
Fijnaart,Noord-Brabant
Finsterwolde,Groningen
